title,author,genre,sales,year
"It Ends with Us","Colleen Hoover","Romance",24500,2016
"The Silent Patient","Alex Michaelides","Psychological Thriller",18750,2019
"The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid","Historical Fiction",16500,2017
"Fourth Wing","Rebecca Yarros","Fantasy",15800,2023
"Iron Flame","Rebecca Yarros","Fantasy",15200,2023
"The Last Thing He Told Me","Laura Dave","Mystery",14200,2021
"The Midnight Library","Matt Haig","Contemporary Fiction",13800,2020
"Lessons in Chemistry","Bonnie Garmus","Historical Fiction",13500,2022
"The Heaven & Earth Grocery Store","James McBride","Historical Fiction",12800,2023
"Tomorrow, and Tomorrow, and Tomorrow","Gabrielle Zevin","Literary Fiction",12500,2022
"The Judge's List","John Grisham","Legal Thriller",12200,2021
"Atomic Habits","James Clear","Self-Help Fiction",11800,2018
"The Maid","Nita Prose","Mystery",11500,2022
"Where the Crawdads Sing","Delia Owens","Literary Fiction",11200,2018
"The Lincoln Highway","Amor Towles","Historical Fiction",10900,2021
"Project Hail Mary","Andy Weir","Science Fiction",10500,2021
"The Invisible Life of Addie LaRue","V.E. Schwab","Fantasy",10200,2020
"The Thursday Murder Club","Richard Osman","Cozy Mystery",9800,2020
"Klara and the Sun","Kazuo Ishiguro","Science Fiction",9500,2021
"Malibu Rising","Taylor Jenkins Reid","Historical Fiction",9200,2021
"The Push","Ashley Audrain","Psychological Thriller",8900,2021
"The Sanatorium","Sarah Pearse","Thriller",8600,2021
"The Four Winds","Kristin Hannah","Historical Fiction",8300,2021
"The Survivors","Jane Harper","Mystery",8000,2021
"The Song of Achilles","Madeline Miller","Historical Fiction",7800,2011
"Circe","Madeline Miller","Fantasy",7600,2018
"The Dutch House","Ann Patchett","Literary Fiction",7400,2019
"The Giver of Stars","Jojo Moyes","Historical Fiction",7200,2019
"The Testaments","Margaret Atwood","Dystopian Fiction",7000,2019
"The Water Dancer","Ta-Nehisi Coates","Historical Fiction",6800,2019
"The Starless Sea","Erin Morgenstern","Fantasy",6600,2019
"The Institute","Stephen King","Thriller",6400,2019
"The Guardians","John Grisham","Legal Thriller",6200,2019
"The Nickel Boys","Colson Whitehead","Historical Fiction",6000,2019
"The Overstory","Richard Powers","Literary Fiction",5800,2018
"The Woman in the Window","A.J. Finn","Psychological Thriller",5600,2018
"The Tattooist of Auschwitz","Heather Morris","Historical Fiction",5400,2018
"Educated","Tara Westover","Memoir Fiction",5200,2018
"Becoming","Michelle Obama","Memoir Fiction",5000,2018
"Little Fires Everywhere","Celeste Ng","Literary Fiction",4800,2017
"The Subtle Art of Not Giving a F*ck","Mark Manson","Self-Help Fiction",4600,2016
"The Girl on the Train","Paula Hawkins","Psychological Thriller",4400,2015
"The Nightingale","Kristin Hannah","Historical Fiction",4200,2015
"All the Light We Cannot See","Anthony Doerr","Historical Fiction",4000,2014
"The Martian","Andy Weir","Science Fiction",3900,2014
"Me Before You","Jojo Moyes","Romance",3800,2012
"Fifty Shades of Grey","E.L. James","Erotic Romance",3700,2011
"The Hunger Games","Suzanne Collins","Dystopian Fiction",3600,2008
"Twilight","Stephenie Meyer","Paranormal Romance",3500,2005
"The Da Vinci Code","Dan Brown","Thriller",3400,2003
"The Kite Runner","Khaled Hosseini","Literary Fiction",3300,2003
"The Book Thief","Markus Zusak","Historical Fiction",3200,2005
"The Help","Kathryn Stockett","Historical Fiction",3100,2009
"Gone Girl","Gillian Flynn","Psychological Thriller",3000,2012
"The Fault in Our Stars","John Green","Young Adult",2900,2012
"Outlander","Diana Gabaldon","Historical Romance",2800,1991
"Harry Potter and the Sorcerer's Stone","J.K. Rowling","Fantasy",2700,1997
"The Alchemist","Paulo Coelho","Philosophical Fiction",2600,1988
"The Catcher in the Rye","J.D. Salinger","Coming-of-Age",2500,1951
"To Kill a Mockingbird","Harper Lee","Southern Gothic",2400,1960
"1984","George Orwell","Dystopian Fiction",2300,1949
"The Great Gatsby","F. Scott Fitzgerald","Literary Fiction",2200,1925
"Pride and Prejudice","Jane Austen","Romance",2100,1813
"Moby Dick","Herman Melville","Adventure",2000,1851
"The Lord of the Rings","J.R.R. Tolkien","Fantasy",1900,1954
"The Shining","Stephen King","Horror",1850,1977
"It","Stephen King","Horror",1800,1986
"The Stand","Stephen King","Post-Apocalyptic",1750,1978
"Misery","Stephen King","Psychological Horror",1700,1987
"The Green Mile","Stephen King","Supernatural Fiction",1650,1996
"The Outsider","Stephen King","Crime Horror",1600,2018
"Billy Summers","Stephen King","Thriller",1550,2021
"Fairy Tale","Stephen King","Fantasy Horror",1500,2022
"Holly","Stephen King","Crime Thriller",1450,2023
"The Eyes of the Dragon","Stephen King","Fantasy",1400,1987
"Hearts in Atlantis","Stephen King","Coming-of-Age",1350,1999
"11/22/63","Stephen King","Science Fiction",1300,2011
"Under the Dome","Stephen King","Science Fiction",1250,2009
"Duma Key","Stephen King","Supernatural Thriller",1200,2008
"Lisey's Story","Stephen King","Psychological Horror",1150,2006
